4,357,0,229,30,1618,1717,0,343,321,365,6,1,232,21,3272,1717,0,5378,18,0,
1,2681,7,631,598,12,68,128,38,587,1514,0,0,0,0,0,0,0,0,0,0,
0,249,2510,57,51,17,510,3821,6,1,136,1231,535,249,2510,3,23,16,2865,0,0,
3,67,2,1,2,4561,33,2,901,90,125,11791,0,0,0,0,0,0,0,0,0,
1,587,211,705,11,528,1742,153,112,31,299,4600,6,7,870,31,4,336,6,0,0,
1,107,1132,29,5261,14275,31,299,203,6,2611,7,1916,3624,1946,0,0,0,0,0,0,
0,20,23,857,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,1,4,2487,652,8104,4,504,499,157,1,189,1762,54,3,24,0,0,0,0,0,
4,8,93,69,2200,69,2200,280,464,7632,2200,20,484,46,30,4,9,0,0,0,0,
4,88,289,6127,15,62,1,2496,3829,0,2181,153,2491,0,0,0,0,0,0,0,0,
4,352,2689,3182,15,24,4165,8403,15,54,24,139,215,357,7,0,61,230,0,0,0,
4,255,1,0,350,8,76,3,45,10,1,2,839,0,536,1,48,0,0,0,0,
1,163,286,92,49,2366,10,49,2366,5103,40,106,0,0,0,0,0,0,0,0,0,
4,1400,7,147,102,156,7815,34,17,172,1000,7,280,102,210,0,0,0,0,0,0,
3,5538,1270,5,61,2570,33,8204,873,0,5,61,2570,9,1325,0,0,0,0,0,0,
0,298,4095,13,2,116,3,6,58,3466,171,0,0,0,0,0,0,0,0,0,0,
1,2587,6168,28,150,195,540,634,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,92,96,4,53,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,207,11541,682,4096,159,159,1682,1682,685,3442,1369,4096,159,159,1682,1682,2020,0,0,0,
2,47,52,22,42,3099,0,5156,3126,151,0,5156,22,3,4,2510,3,135,42,0,0,
0,5557,2832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,25,365,0,15,4346,315,0,9556,5891,0,7,7796,315,0,0,0,0,0,0,0,
0,8,386,0,5394,8,386,0,11,5394,14,3,2510,0,0,0,0,0,0,0,0,
2,4,53,12267,1897,0,8918,1137,35,0,0,0,0,0,0,0,0,0,0,0,0,
3,618,7,1,0,96,47,2753,0,15,9,54,0,0,0,0,0,0,0,0,0,
4,233,4,5,18,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,87,6644,543,2385,8691,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,7,0,3406,44,7,44,765,31,4,1036,198,5,9,0,0,0,0,0,0,0,
4,5256,80,1731,0,80,306,0,766,2,0,4,3955,880,1350,0,12,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,1,4,25,178,1416,45,10663,2951,1,2388,4,2964,3059,19,3895,132,1,0,0,0,
2,283,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,5,2,1,113,42,554,832,15,2555,1219,195,0,0,0,0,0,0,0,0,0,
